2025-03-05 12:05:44.8421 | Info | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:7025 
2025-03-05 12:05:44.8915 | Info | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5145 
2025-03-05 12:05:44.9528 | Info | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down. 
2025-03-05 12:05:44.9528 | Info | Microsoft.Hosting.Lifetime | Hosting environment: Development 
2025-03-05 12:05:44.9528 | Info | Microsoft.Hosting.Lifetime | Content root path: D:\NEW HelloApp gitrepo\GreetingApp\ 
2025-03-05 12:05:46.8220 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7025/swagger - - 
2025-03-05 12:05:47.1731 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7025/swagger - - - 301 0 - 354.4361ms 
2025-03-05 12:05:47.2689 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7025/swagger/index.html - - 
2025-03-05 12:05:47.3992 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7025/swagger/index.html - - - 200 - text/html;charset=utf-8 130.3052ms 
2025-03-05 12:05:47.4430 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7025/swagger/swagger-ui.css - - 
2025-03-05 12:05:47.4430 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7025/swagger/index.css - - 
2025-03-05 12:05:47.4430 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7025/swagger/swagger-ui-bundle.js - - 
2025-03-05 12:05:47.4430 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7025/swagger/swagger-ui-standalone-preset.js - - 
2025-03-05 12:05:47.4430 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7025/swagger/index.js - - 
2025-03-05 12:05:47.4556 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7025/swagger/index.js - - - 200 - application/javascript;charset=utf-8 9.6865ms 
2025-03-05 12:05:47.4556 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7025/_vs/browserLink - - 
2025-03-05 12:05:47.4637 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7025/_framework/aspnetcore-browser-refresh.js - - 
2025-03-05 12:05:47.4813 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7025/_framework/aspnetcore-browser-refresh.js - - - 200 12354 application/javascript;+charset=utf-8 17.6099ms 
2025-03-05 12:05:47.5551 | Info | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Sending file. Request path: '/swagger-ui-standalone-preset.js'. Physical path: 'N/A' 
2025-03-05 12:05:47.5551 | Info | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Sending file. Request path: '/index.css'. Physical path: 'N/A' 
2025-03-05 12:05:47.5551 | Info | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Sending file. Request path: '/swagger-ui.css'. Physical path: 'N/A' 
2025-03-05 12:05:47.5689 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7025/swagger/swagger-ui.css - - - 200 154948 text/css 125.7767ms 
2025-03-05 12:05:47.5689 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7025/swagger/swagger-ui-standalone-preset.js - - - 200 229223 application/javascript 124.0761ms 
2025-03-05 12:05:47.5689 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7025/swagger/index.css - - - 200 202 text/css 125.4061ms 
2025-03-05 12:05:47.6104 | Info | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Sending file. Request path: '/swagger-ui-bundle.js'. Physical path: 'N/A' 
2025-03-05 12:05:47.6104 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7025/swagger/swagger-ui-bundle.js - - - 200 1466324 application/javascript 169.1542ms 
2025-03-05 12:05:47.6641 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7025/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 205.7182ms 
2025-03-05 12:05:48.0224 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7025/swagger/v1/swagger.json - - 
2025-03-05 12:05:48.0224 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7025/swagger/favicon-32x32.png - - 
2025-03-05 12:05:48.0373 | Info | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Sending file. Request path: '/favicon-32x32.png'. Physical path: 'N/A' 
2025-03-05 12:05:48.0403 | Info | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7025/swagger/favicon-32x32.png - - - 200 628 image/png 17.8129ms 
